# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	5126
#@/user_id	be5fbefd-d5d5-4cd5-a314-d2941824e53b
cong 	從	c=4 d=1.33134 t=4098
cong jie guo 	從結果	c=1 d=1 t=1119
cun de 	存的	c=2 d=1.45841 t=1333
cun zai 	存在	c=0 d=0.1 t=1643
cuo 	錯	c=3 d=1.40345 t=4632
cuo wu 	錯誤	c=2 d=1.08892 t=1161
da 	大	c=0 d=0.1 t=2411
da 	打	c=4 d=1.00002 t=3621
da cheng le 	達成了	c=1 d=1 t=4281
da da 	噠噠	c=1 d=1 t=1139
da dao 	打到	c=1 d=1 t=4656
da dao 	達到	c=1 d=1 t=2172
da de 	大的	c=2 d=1.0007 t=4369
da die dai 	大迭代	c=1 d=1 t=2412
da gai 	大概	c=1 d=1 t=681
da gai shi 	大概是	c=1 d=1 t=1438
da gao 	打高	c=1 d=1 t=4738
da ge 	大哥	c=1 d=1 t=4091
da ji liang 	大劑量	c=1 d=1 t=1569
da jia 	大家	c=2 d=0.105141 t=4026
da jia jiu hui jiao ni 	大家就會叫你	c=1 d=1 t=3303
da ka 	打卡	c=2 d=2.00438 t=4195
da liang 	大量	c=1 d=1 t=379
da pao 	打炮	c=1 d=1 t=3862
da shi 	大事	c=0 d=0.1 t=256
da suan 	打算	c=0 d=0.107244 t=650
da xing 	大型	c=1 d=1 t=372
da xue 	大學	c=2 d=1.91851 t=1215
da you xi 	打遊戲	c=1 d=1 t=3855
da yu 	大於	c=1 d=1 t=1988
da zhan 	大戰	c=2 d=1.03206 t=3258
dai 	帶	c=2 d=1.00002 t=4101
dai de 	帶的	c=1 d=1.09851 t=729
dai ge 	戴個	c=1 d=1 t=4211
dai ma 	代碼	c=12 d=3.4565 t=5103
dai ma le 	代碼了	c=1 d=1 t=813
dai shu 	代數	c=2 d=0.130836 t=3823
dai shu de shu ju 	代數的數據	c=1 d=1 t=3824
dai shu ke 	代數課	c=1 d=1 t=1271
dan 	但	c=16 d=2.23351 t=4777
dan bu zhi dao 	但不知道	c=1 d=1 t=1825
dan du 	單獨	c=2 d=0.14161 t=4020
dan du chu xian le 	單獨出現了	c=1 d=1 t=2036
dan du zuo 	單獨做	c=1 d=1 t=4021
dan gan jue 	但感覺	c=1 d=1 t=3123
dan ke yi 	但可以	c=1 d=1 t=3941
dan li lun shang 	但理論上	c=1 d=1 t=4585
dan nai 	淡奶	c=1 d=1 t=4261
dan que 	但卻	c=0 d=0.1 t=4264
dan que shi 	但卻是	c=1 d=1 t=4265
dan shi 	但是	c=8 d=1.98552 t=5101
dan shi ni 	但是你	c=1 d=1 t=4894
dan wei 	單位	c=1 d=1.09851 t=72
dan wei shen me 	但爲什麼	c=1 d=1 t=1362
dan wo 	但我	c=2 d=1.02535 t=5072
dan wo hai shi 	但我還是	c=1 d=1 t=961
dan wo men 	但我們	c=1 d=1 t=384
dan xin 	擔心	c=1 d=1 t=770
dan zai 	但在	c=1 d=1 t=3298
dan zhe 	但這	c=2 d=1.00161 t=4414
dang 	黨	c=2 d=1.64082 t=342
dang qian 	當前	c=1 d=1 t=2104
dang yuan 	黨員	c=1 d=1 t=201
dang zhi bu 	黨支部	c=2 d=1.94649 t=218
dang zhong yang 	黨中央	c=1 d=1 t=259
dang zu zhi 	黨組織	c=1 d=0.804688 t=332
dang zu zhi nei 	黨組織內	c=1 d=1 t=333
dao 	到	c=7 d=1.4362 t=4784
dao 	道	c=0 d=0.1 t=763
dao chu 	導出	c=1 d=0.1 t=3772
dao guan 	導管	c=3 d=2.78733 t=1042
dao le 	到了	c=2 d=1 t=3468
dao shi 	導師	c=1 d=1 t=3425
dao shi hou 	到時候	c=3 d=1.03367 t=2436
dao shu 	倒數	c=1 d=1 t=4956
dao yi hou 	到以後	c=1 d=1 t=1028
dao zu qie chang 	道組且長	c=1 d=1 t=3984
de 	的	c=128 d=8.09748 t=5109
de bu 	得不	c=0 d=0.1 t=1641
de bu xi 	德布西	c=0 d=0.1 t=3859
de ce lve 	的策略	c=1 d=1 t=3484
de da 	的大	c=0 d=0.1 t=735
de dao de 	得到的	c=1 d=1 t=2623
de dong xi 	的東西	c=1 d=0.100296 t=2128
de fen 	得分	c=1 d=1 t=3835
de hao 	的好	c=0 d=0.1 t=2857
de hao chu shi 	的好處是	c=1 d=1 t=2858
de hao de 	的好的	c=1 d=1 t=2438
de hua 	的話	c=5 d=1.00015 t=4787
de ke 	的課	c=1 d=1 t=3724
de le 	得了	c=1 d=1 t=1617
de lian tong xing 	的連通性	c=1 d=1 t=1622
de ri zhi 	的日誌	c=1 d=1 t=4960
de shi 	的事	c=0 d=0.1 t=4418
de shi 	的是	c=1 d=1 t=4467
de shi hou 	的時候	c=0 d=0.103841 t=3791
de shu ju 	的數據	c=0 d=0.1 t=3823
de suan nai 	的酸奶	c=1 d=1 t=704
de wen ti 	的問題	c=4 d=1.03274 t=2793
de yang zi 	的樣子	c=2 d=1.00042 t=3728
de yuan yin shi 	的原因是	c=1 d=1 t=1216
dei 	得	c=5 d=2.01885 t=5034
dei rang da jia 	得讓大家	c=1 d=1 t=1830
deng 	瞪	c=1 d=0.112463 t=2409
deng 	等	c=4 d=1.00035 t=5058
deng deng 	等等	c=2 d=1.84718 t=4661
deng deng ba 	等等把	c=1 d=1 t=4644
deng lu 	登錄	c=2 d=0.100001 t=4301
deng lu shi bai 	登錄失敗	c=1 d=1 t=1158
deng ni 	等你	c=1 d=1 t=2859
deng ni lai 	等你來	c=0 d=0.1 t=4270
deng ni lai le jiu zhi dao le 	等你來了就知道了	c=1 d=1 t=4271
deng shang 	登上	c=0 d=0.1 t=3617
deng wo 	等我	c=2 d=0.229455 t=4858
deng wo kao wan 	等我考完	c=1 d=1 t=68
deng wo men 	瞪我們	c=1 d=1 t=2410
deng wo xia 	等我下	c=1 d=1 t=4859
deng wo yi xia 	等我一下	c=1 d=1 t=4527
deng yi deng 	等一等	c=1 d=1 t=1632
deng yi xia 	等一下	c=1 d=1 t=2354
di 	第	c=2 d=1.28794 t=366
di 	遞	c=1 d=1 t=682
di ba 	第八	c=1 d=1 t=190
di er ci 	第二次	c=1 d=1 t=4957
di er ge 	第二個	c=1 d=1 t=402
di fang 	地方	c=1 d=0.104677 t=3896
di gui 	遞歸	c=1 d=0.199261 t=917
di gui suan fa 	遞歸算法	c=1 d=1 t=918
di li 	地理	c=0 d=0.1 t=276
di san ge 	第三個	c=1 d=1 t=414
di si zhang 	第四章	c=1 d=1 t=2900
di yi bu 	第一步	c=1 d=1 t=644
di yi ci 	第一次	c=2 d=1.00278 t=2704
di yi ge 	第一個	c=3 d=1.22552 t=833
di yi ti 	第一題	c=1 d=1 t=165
di zhi 	地址	c=1 d=1 t=1
dian 	點	c=5 d=1.6136 t=3844
dian ban 	點半	c=1 d=1 t=3726
dian cuo 	點錯	c=1 d=1 t=4540
dian hua 	電話	c=1 d=1 t=3
dian jie shu 	點結束	c=1 d=1 t=3845
dian le 	點了	c=1 d=1 t=3962
dian zhong 	點鐘	c=1 d=1 t=357
dian zi 	電子	c=0 d=0.1 t=4211
dian zi shou biao 	電子手錶	c=1 d=1 t=4212
diao cha 	調查	c=0 d=0.1 t=3886
diao cha guo ma 	調查過嗎	c=1 d=1 t=3887
diao du 	調度	c=1 d=1 t=3765
die dai 	迭代	c=9 d=4.7054 t=3085
die dai de 	迭代的	c=1 d=1 t=654
die dai de shi hou 	迭代的時候	c=1 d=1 t=609
ding li 	定理	c=8 d=0.841799 t=3771
ding li ku 	定理庫	c=1 d=1 t=3772
ding qi 	定期	c=1 d=1 t=4908
ding wei 	定位	c=1 d=1.09704 t=4198
ding wei de 	定位的	c=1 d=1 t=4193
ding yi 	定義	c=0 d=0.1 t=379
diu 	丟	c=1 d=1 t=5105
diu jin 	丟進	c=1 d=1 t=5026
dong 	動	c=0 d=0.1 t=2731
dong le 	懂了	c=4 d=1.00065 t=4345
dong tai 	動態	c=1 d=1 t=341
dong xi 	東西	c=2 d=0.212484 t=4384
dong yi hang 	動一行	c=1 d=1 t=2732
dou 	都	c=8 d=1.50268 t=4876
dou bao 	豆包	c=1 d=1 t=4001
dou bu shuang 	都不爽	c=1 d=1 t=4141
dou bu yi yang de 	都不一樣的	c=1 d=1 t=1169
dou chu li 	都處理	c=1 d=1 t=3049
